id,name,slug,address,city,neighborhood,latitude,longitude,sports,numberOfCourts,indoorOutdoor,lights,publicPrivate,bookingUrl,sourceUrl,liveStatus,sourcePlatform,notes
venue-griffith-riverside,Griffith Riverside Courts,griffith-riverside-courts,"3401 Riverside Dr, Los Angeles, CA",Los Angeles,Los Feliz,34.1181,-118.2707,tennis|pickleball,3,outdoor,true,public,https://example.com/griffith-riverside-booking,TODO: verify official facility source URL,live_alerts,manual,Seeded MVP facility with mock live-alert coverage.
venue-santa-monica-ocean,Santa Monica Ocean View Tennis Center,santa-monica-ocean-view-tennis-center,"2600 Barnard Way, Santa Monica, CA",Santa Monica,Ocean Park,34.0006,-118.4837,tennis,2,outdoor,true,public,https://example.com/santa-monica-tennis-booking,TODO: verify official facility source URL,manual_beta,unknown,Directory listing only until source platform is verified.
venue-culver-pickle,Culver City Paddle & Pickleball,culver-city-paddle-pickleball,"4117 Overland Ave, Culver City, CA",Culver City,Downtown Culver,34.0122,-118.3951,pickleball,2,outdoor,true,public,https://example.com/culver-pickleball-booking,TODO: verify official facility source URL,booking_link_only,unknown,Booking link directory entry; automated monitoring is not active.
venue-cheviot-hills,Cheviot Hills Recreation Center,cheviot-hills-recreation-center,"2551 Motor Ave, Los Angeles, CA",Los Angeles,Rancho Park,34.0447,-118.4094,tennis|pickleball,8,outdoor,true,public,https://example.com/cheviot-hills-booking,TODO: verify official facility source URL,manual_beta,webtrac,Likely public recreation booking flow; source platform requires verification.
venue-westwood-rec,Westwood Recreation Center,westwood-recreation-center,"1350 S Sepulveda Blvd, Los Angeles, CA",Los Angeles,Westwood,34.0555,-118.4432,pickleball,4,outdoor,false,public,https://example.com/westwood-rec-booking,TODO: verify official facility source URL,coming_soon,unknown,Candidate facility for monitoring requests.
venue-poinsettia-rec,Poinsettia Recreation Center,poinsettia-recreation-center,"7341 Willoughby Ave, Los Angeles, CA",Los Angeles,Fairfax,34.0877,-118.3493,tennis,4,outdoor,true,public,https://example.com/poinsettia-rec-booking,TODO: verify official facility source URL,booking_link_only,webtrac,Directory listing with placeholder booking/source URLs.
venue-mar-vista-rec,Mar Vista Recreation Center,mar-vista-recreation-center,"11430 Woodbine St, Los Angeles, CA",Los Angeles,Mar Vista,34.0079,-118.4285,tennis|pickleball,6,outdoor,true,public,https://example.com/mar-vista-rec-booking,TODO: verify official facility source URL,manual_beta,webtrac,Good candidate for live alert adapter validation.
venue-van-nuys-sherman-oaks,Van Nuys Sherman Oaks Recreation Center,van-nuys-sherman-oaks-recreation-center,"14201 Huston St, Sherman Oaks, CA",Los Angeles,Sherman Oaks,34.1595,-118.4426,tennis,8,outdoor,true,public,https://example.com/van-nuys-sherman-oaks-booking,TODO: verify official facility source URL,coming_soon,unknown,Directory listing pending booking platform verification.
venue-memorial-park-santa-monica,Memorial Park Tennis Courts,memorial-park-tennis-courts,"1401 Olympic Blvd, Santa Monica, CA",Santa Monica,Mid-City,34.0214,-118.4815,tennis|pickleball,6,outdoor,true,public,https://example.com/memorial-park-booking,TODO: verify official facility source URL,booking_link_only,civicrec,Source platform label is a working hypothesis and not verified.
venue-el-segundo-rec-park,El Segundo Recreation Park Courts,el-segundo-recreation-park-courts,"401 Sheldon St, El Segundo, CA",El Segundo,Recreation Park,33.9181,-118.4117,tennis|pickleball,8,outdoor,true,public,https://example.com/el-segundo-rec-park-booking,TODO: verify official facility source URL,coming_soon,unknown,South Bay candidate for future adapter coverage.
